,German,English
0,Büro,office
1,Wahl,choice
2,Wochen,Weeks
3,Damit,In order to
4,getroffen,met
5,äh,ah
6,Tja,Well
7,passieren,happen
8,lustig,fun
9,Gefühl,feeling
10,völlig,fully
11,denkt,thinks
12,drüben,over there
13,Leuten,People
14,laufen,to run
15,spielt,plays
16,früher,previously
17,Sein,being
18,krank,Sick
19,gegangen,gone
20,fand,found
21,Pass,passport
22,fühle,feel
23,Himmel,heaven
24,froh,joyful
25,leicht,easy
26,wolltest,wanted
27,welche,Which
28,genommen,taken
29,unserem,ours
30,Idiot,idiot
31,jede,every
32,Ohne,Without
33,groß,big
34,Tagen,Days
35,nächste,next
36,Entschuldigen,To apologize
37,Doktor,doctor
38,spricht,speaks
39,hält,holds
40,Team,team
41,Verstanden,Roger that
42,heiraten,marry
43,Wiedersehen,Reunite
44,sitzen,sit
45,dies,this
46,weniger,fewer
